DATAFLOW,LAST UPDATE,freq,animals,month,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TAG00014(1.0),04/01/23 23:00:00,A,A2300F,M12,THS_HD,DE,2010,4181.68,
ESTAT:TAG00014(1.0),04/01/23 23:00:00,A,A2300F,M12,THS_HD,DE,2011,4190.10,
ESTAT:TAG00014(1.0),04/01/23 23:00:00,A,A2300F,M12,THS_HD,DE,2012,4190.49,
ESTAT:TAG00014(1.0),04/01/23 23:00:00,A,A2300F,M12,THS_HD,DE,2013,4267.61,
ESTAT:TAG00014(1.0),04/01/23 23:00:00,A,A2300F,M12,THS_HD,DE,2014,4295.68,
ESTAT:TAG00014(1.0),04/01/23 23:00:00,A,A2300F,M12,THS_HD,DE,2015,4284.64,
ESTAT:TAG00014(1.0),04/01/23 23:00:00,A,A2300F,M12,THS_HD,DE,2016,4217.70,
ESTAT:TAG00014(1.0),04/01/23 23:00:00,A,A2300F,M12,THS_HD,DE,2017,4199.01,
ESTAT:TAG00014(1.0),04/01/23 23:00:00,A,A2300F,M12,THS_HD,DE,2018,4100.86,
ESTAT:TAG00014(1.0),04/01/23 23:00:00,A,A2300F,M12,THS_HD,DE,2019,4011.67,
ESTAT:TAG00014(1.0),04/01/23 23:00:00,A,A2300F,M12,THS_HD,DE,2020,3921.41,
ESTAT:TAG00014(1.0),04/01/23 23:00:00,A,A2300F,M12,THS_HD,DE,2021,3832.72,
ESTAT:TAG00014(1.0),04/01/23 23:00:00,A,A2300F,M12,THS_HD,ES,2010,845.29,
ESTAT:TAG00014(1.0),04/01/23 23:00:00,A,A2300F,M12,THS_HD,ES,2011,797.89,
ESTAT:TAG00014(1.0),04/01/23 23:00:00,A,A2300F,M12,THS_HD,ES,2012,827.21,
ESTAT:TAG00014(1.0),04/01/23 23:00:00,A,A2300F,M12,THS_HD,ES,2013,844.06,
ESTAT:TAG00014(1.0),04/01/23 23:00:00,A,A2300F,M12,THS_HD,ES,2014,844.79,
ESTAT:TAG00014(1.0),04/01/23 23:00:00,A,A2300F,M12,THS_HD,ES,2015,844.11,
ESTAT:TAG00014(1.0),04/01/23 23:00:00,A,A2300F,M12,THS_HD,ES,2016,834.45,
ESTAT:TAG00014(1.0),04/01/23 23:00:00,A,A2300F,M12,THS_HD,ES,2017,823.39,
ESTAT:TAG00014(1.0),04/01/23 23:00:00,A,A2300F,M12,THS_HD,ES,2018,816.69,
ESTAT:TAG00014(1.0),04/01/23 23:00:00,A,A2300F,M12,THS_HD,ES,2019,812.87,
ESTAT:TAG00014(1.0),04/01/23 23:00:00,A,A2300F,M12,THS_HD,ES,2020,810.74,p
ESTAT:TAG00014(1.0),04/01/23 23:00:00,A,A2300F,M12,THS_HD,ES,2021,808.86,p
ESTAT:TAG00014(1.0),04/01/23 23:00:00,A,A2300F,M12,THS_HD,IE,2010,1006.90,
ESTAT:TAG00014(1.0),04/01/23 23:00:00,A,A2300F,M12,THS_HD,IE,2011,1035.64,
ESTAT:TAG00014(1.0),04/01/23 23:00:00,A,A2300F,M12,THS_HD,IE,2012,1060.26,
ESTAT:TAG00014(1.0),04/01/23 23:00:00,A,A2300F,M12,THS_HD,IE,2013,1082.46,
ESTAT:TAG00014(1.0),04/01/23 23:00:00,A,A2300F,M12,THS_HD,IE,2014,1127.72,
ESTAT:TAG00014(1.0),04/01/23 23:00:00,A,A2300F,M12,THS_HD,IE,2015,1239.89,
ESTAT:TAG00014(1.0),04/01/23 23:00:00,A,A2300F,M12,THS_HD,IE,2016,1295.23,
ESTAT:TAG00014(1.0),04/01/23 23:00:00,A,A2300F,M12,THS_HD,IE,2017,1343.30,
ESTAT:TAG00014(1.0),04/01/23 23:00:00,A,A2300F,M12,THS_HD,IE,2018,1369.10,
ESTAT:TAG00014(1.0),04/01/23 23:00:00,A,A2300F,M12,THS_HD,IE,2019,1425.76,
ESTAT:TAG00014(1.0),04/01/23 23:00:00,A,A2300F,M12,THS_HD,IE,2020,1456.05,
ESTAT:TAG00014(1.0),04/01/23 23:00:00,A,A2300F,M12,THS_HD,IE,2021,1505.27,
